agg_level_pseo,grad_char,firm_char,cip_level,inst_level,geo_level,ind_level,by_grad_cohort,by_degree_level
158,Degree Level * Census Division of Institution,NAICS Sector * Census Division,A,D,D,S,0,1
159,CIP 2-digit * Census Division of Institution,NAICS Sector * Census Division,2,D,D,S,0,0
160,Degree Level * CIP 2-digit * Census Division of Institution,NAICS Sector * Census Division,2,D,D,S,0,1
161,CIP 4-digit * Census Division of Institution,NAICS Sector * Census Division,4,D,D,S,0,0
162,Degree Level * CIP 4-digit * Census Division of Institution,NAICS Sector * Census Division,4,D,D,S,0,1
163,Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,A,D,D,S,1,0
164,Degree Level * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,A,D,D,S,1,1
165,CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,2,D,D,S,1,0
166,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,2,D,D,S,1,1
167,CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,4,D,D,S,1,0
168,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector * Census Division,4,D,D,S,1,1
169,State of Institution,NAICS Sector * Census Division,A,S,D,S,0,0
170,Degree Level * State of Institution,NAICS Sector * Census Division,A,S,D,S,0,1
171,CIP 2-digit * State of Institution,NAICS Sector * Census Division,2,S,D,S,0,0
172,Degree Level * CIP 2-digit * State of Institution,NAICS Sector * Census Division,2,S,D,S,0,1
173,CIP 4-digit * State of Institution,NAICS Sector * Census Division,4,S,D,S,0,0
174,Degree Level * CIP 4-digit * State of Institution,NAICS Sector * Census Division,4,S,D,S,0,1
175,Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,A,S,D,S,1,0
176,Degree Level * Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,A,S,D,S,1,1
177,CIP 2-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,2,S,D,S,1,0
178,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,2,S,D,S,1,1
179,CIP 4-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,4,S,D,S,1,0
180,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector * Census Division,4,S,D,S,1,1
181,Institution ID,NAICS Sector * Census Division,A,I,D,S,0,0
182,Degree Level * Institution ID,NAICS Sector * Census Division,A,I,D,S,0,1
183,CIP 2-digit * Institution ID,NAICS Sector * Census Division,2,I,D,S,0,0
184,Degree Level * CIP 2-digit * Institution ID,NAICS Sector * Census Division,2,I,D,S,0,1
185,CIP 4-digit * Institution ID,NAICS Sector * Census Division,4,I,D,S,0,0
186,Degree Level * CIP 4-digit * Institution ID,NAICS Sector * Census Division,4,I,D,S,0,1
187,Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,A,I,D,S,1,0
188,Degree Level * Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,A,I,D,S,1,1
189,CIP 2-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,2,I,D,S,1,0
190,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,2,I,D,S,1,1
191,CIP 4-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,4,I,D,S,1,0
192,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector * Census Division,4,I,D,S,1,1
