institution,label,city,institution_state,inst_level,statefips
E01836,PLATT COLLEGE - MILLER-MOTTE TECHNICAL -,COLUMBUS,GA,I,13
E01841,BRIGHTWOOD COLLEGE - CHULA VISTA,CHULA VISTA,CA,I,06
E01844,GLENDALE CAREER COLLEGE - NEVADA CAREER,LAS VEGAS,NV,I,32
E01851,RASMUSSEN COLLEGE - WAUSAU,WAUSAU,WI,I,55
E01864,RASMUSSEN COLLEGE - BLAINE,BLAINE,MN,I,27
E01865,RASMUSSEN COLLEGE -  MOKENA,MOKENA,IL,I,17
E01868,FINGER LAKES SCHOOL OF MASSAGE (THE) -,MOUNT KISCO,NY,I,36
E01879,TOURO UNIVERSITY - NEVADA,HENDERSON,NV,I,32
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,I,06
E01887,UNITED EDUCATION INSTITUTE - WEST COVINA,WEST COVINA,CA,I,06
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,I,06
E01897,CONTINENTAL SCHOOL OF BEAUTY CULTURE - M,MATTYDALE,NY,I,36
E01901,VIRGINIA COLLEGE - ECOTECH INSTITUTE - A,AURORA,CO,I,08
E01913,PLATT COLLEGE - MILLER-MOTTE TECHNICAL -,CONWAY,SC,I,45
E01914,NATIONAL COLLEGE - SOUTH BEND,SOUTH BEND,IN,I,18
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,I,06
E01929,RASMUSSEN COLLEGE - TAMPA,TAMPA,FL,I,12
E01938,PLATT COLLEGE - MILLER-MOTTE - JACKSONVI,JACKSONVILLE,NC,I,37
E01939,NATIONAL COLLEGE - FLORENCE CAMPUS,FLORENCE,KY,I,21
E01940,NATIONAL COLLEGE - PIKEVILLE CAMPUS,PIKEVILLE,KY,I,21
E01941,NATIONAL COLLEGE - DANVILLE CAMPUS,DANVILLE,KY,I,21
E01943,NATIONAL COLLEGE - LOUISVILLE CAMPUS,LOUISVILLE,KY,I,21
E01946,DORSEY BUSINESS SCHOOL - SAGINAW CAMPUS,SAGINAW,MI,I,26
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,I,06
E01951,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,NORMAN,OK,I,40
E01957,PLATT COLLEGE - MILLER-MOTTE TECHNICAL -,AUGUSTA,GA,I,13
E01966,ITT TECHNICAL INSTITUTE,SOUTH BEND,IN,I,18
E01967,ITT TECHNICAL INSTITUTE,MERRILLVILLE,IN,I,18
E01968,ITT TECHNICAL INSTITUTE,GREENWOOD,IN,I,18
E01970,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,SPARTANBURG,SC,I,45
E01976,BRYAN UNIVERSITY - COLUMBIA,COLUMBIA,MO,I,29
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,I,06
E01993,HERITAGE COLLEGE - COLUMBUS,COLUMBUS,OH,I,39
E01996,HARRISON COLLEGE - THE CHEF'S ACADEMY -,MORRISVILLE,NC,I,37
E02004,RASMUSSEN COLLEGE - PASCO,LUTZ,FL,I,12
E02015,PLATT COLLEGE - MILLER-MOTTE TECHNICAL -,MACON,GA,I,13
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,STOCKTON,CA,I,06
E02074,UTAH COLLEGE OF MASSAGE THERAPY - TEXAS,RICHARDSON,TX,I,48
E02088,ATA COLLEGE-ATA CAREER EDUCATION,SPRING HILL,FL,I,12
E02094,VISTA COLLEGE - BEAUMONT,BEAUMONT,TX,I,48
E02095,VISTA COLLEGE - LONGVIEW,LONGVIEW,TX,I,48
E02098,TEXAS BARBER COLLEGES & HAIRSTYLING SCHO,DALLAS,TX,I,48
E02099,TEXAS BARBER COLLEGES & HAIRSTYLING SCHO,DALLAS,TX,I,48
E02100,TEXAS BARBER COLLEGES & HAIRSTYLING SCHO,HOUSTON,TX,I,48
E02103,CAREER QUEST LEARNING CENTER - JACKSON,JACKSON,MI,I,26
E02114,PAUL MITCHELL THE SCHOOL-CRANSTON,CRANSTON,RI,I,44
E02115,PAUL MITCHELL THE SCHOOL - ORLANDO,OVIEDO,FL,I,12
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,SAN DIEGO,CA,I,06
E02117,PAUL MITCHELL THE SCHOOL -TAMPA,TAMPA,FL,I,12
E02118,PAUL MITCHELL THE SCHOOL -MICHIGAN,STERLING HEIGHTS,MI,I,26
E02122,PAUL MITCHELL THE SCHOOL FT MYERS,FORT MYERS,FL,I,12
E02123,PAUL MITCHELL THE SCHOOL COLUMBIA,COLUMBIA,SC,I,45
E02124,PAUL MITCHELL THE SCHOOL CHARLESTON,NORTH CHARLESTON,SC,I,45
E02126,"JOHN PAOLO'S XTREME BEAUTY INSTITUTE, GO",NEW YORK MILLS,NY,I,36
E02133,PLATT COLLEGE - RIVERSIDE,RIVERSIDE,CA,I,06
E02134,UTAH COLLEGE OF MASSAGE THERAPY - TEXAS,HOUSTON,TX,I,48
E02135,SOUTH UNIVERSITY - AUSTIN,AUSTIN,TX,I,48
E02136,SOUTH UNIVERSITY - CLEVELAND,WARRENSVILLE HEIGHTS,OH,I,39
E02145,JOHNS HOPKINS UNIVERSITY - CAREY BUSINES,BALTIMORE,MD,I,24
E02148,BELLA CAPELLI ACADEMY -,PITTSBURGH,PA,I,42
E02150,PAUL MITCHELL THE SCHOOL-JACKSONVILLE -,WOODBRIDGE,VA,I,51
E02158,VISTA COLLEGE - KILLEEN,KILLEEN,TX,I,48
E02160,MEDTECH INSTITUTE,ORLANDO,FL,I,12
E02161,CAREER ACADEMY OF HAIR DESIGN - FAYETTEV,FAYETTEVILLE,AR,I,05
E02162,AMERICAN INSTITUTE - TOMS RIVER,TOMS RIVER,NJ,I,34
E02163,PAUL MITCHELL THE SCHOOL-JACKSONVILLE -,MCLEAN,VA,I,51
E02166,RASMUSSEN COLLEGE - OVERLAND PARK,OVERLAND PARK,KS,I,20
E02167,RASMUSSEN COLLEGE - TOPEKA,TOPEKA,KS,I,20
E02168,DEVRY UNIVERSITY - MERRILLVILLE,MERRILLVILLE,IN,I,18
E02174,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,SAN ANTONIO,TX,I,48
E02175,FINGER LAKES SCHOOL OF MASSAGE (THE),FREDERICK,MD,I,24
E02177,PCI HEALTH TRAINING CENTER - RICHARDSON,RICHARDSON,TX,I,48
E02178,HAYS ACADEMY OF HAIR DESIGN -,SALINA,KS,I,20
E02181,PURDUE UNIVERSITY GLOBAL - AUGUSTA,AUGUSTA,ME,I,23
E02182,CHAMBERLAIN COLLEGE OF NURSING - INDIANA,INDIANAPOLIS,IN,I,18
E02186,CRAVE BEAUTY ACADEMY-BALLWIN,BALLWIN,MO,I,29
E02187,NATIONAL CAREER INSTITUTE - JERSEY CITY,JERSEY CITY,NJ,I,34
E02188,NEW YORK MEDICAL CAREER TRAINING CENTER,NEW YORK,NY,I,36
E02189,TONI & GUY HAIRDRESSING ACADEMY - BRAINT,BRAINTREE,MA,I,25
E02190,DORSEY SCHOOL OF BUSINESS - DEARBORN,DETROIT,MI,I,26
E02191,MYCOMPUTERCAREER.COM - DALLAS,IRVING,TX,I,48
E02192,MYCOMPUTERCAREER.COM - HOUSTON,HOUSTON,TX,I,48
E02194,ACADEMY OF HAIR DESIGN #1-ACADEMY OF HAI,GRENADA,MS,I,28
E02200,TAYLOR ANDREWS ACADEMY -  OREM,OREM,UT,I,49
E02202,PAUL MITCHELL THE SCHOOL CINCINNATI - TO,SYLVANIA,OH,I,39
E02203,WEST COAST UNIVERSITY - MIAMI,DORAL,FL,I,12
E02205,DEWEY UNIVERSITY - MAYAGUEZ,MAYAGUEZ,PR,I,72
E02206,PAUL MITCHELL THE SCHOOL ESCANABA - PAUL,LOMBARD,IL,I,17
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,LAGUNA HILLS,CA,I,06
E02209,PAUL MITCHELL THE SCHOOL FAYETTEVILLE -,GREENVILLE,SC,I,45
E02210,ARIZONA SCHOOL OF INTEGRATIVE STUDIES -,FLAGSTAFF,AZ,I,04
E02211,ARIZONA SCHOOL OF INTEGRATIVE STUDIES -,PRESCOTT,AZ,I,04
E23411,KENNETH SHULER SCHOOL OF COSMETOLOGY & N,GOOSE CREEK,SC,I,45
E40387,IDEAL BEAUTY ACADEMY - JEFFERSONVILLE,JEFFERSONVILLE,IN,I,18
E40388,VISTA COLLEGE - COLLEGE STATION,COLLEGE STATION,TX,I,48
E40390,PAUL MITCHELL THE SCHOOL TINLEY PARK,TINLEY PARK,IL,I,17
E40392,SUNSTATE ACADEMY - JONES TECHNICAL INSTI,JACKSONVILLE,FL,I,12
E40393,HERITAGE INSTITUTE - HERITAGE COLLEGE/CL,MIDDLEBURG HEIGHTS,OH,I,39
E40394,AVEDA INSTITUTE TUCSON - PHOENIX,TEMPE,AZ,I,04
E40395,BAKER COLLEGE - CULINARY INSTITUTE OF MI,MUSKEGON,MI,I,26
E40396,BAKER COLLEGE - CULINARY INSTITUTE OF MI,PORT HURON,MI,I,26
E40397,BAKER COLLEGE - AUTO DIESEL INSTITUTE OF,OWOSSO,MI,I,26
E40398,HUSSIAN COLLEGE-RELATIVITY CAMPUS CALIFO,LOS ANGELES,CA,I,06
E40407,CELEBRITY BARBER SCHOOL,MONROE,LA,I,22
E40408,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,AUBURN,AL,I,01
E40410,UNITECH TRAINING ACADEMY - METAIRIE,METAIRIE,LA,I,22
E40413,CAREER ACADEMY OF HAIR DESIGN - FORT SMI,FORT SMITH,AR,I,05
E40414,VISTA COLLEGE - FT. SMITH,FT. SMITH,AR,I,05
E40421,INTER AMERICAN UNIVERSITY OF PUERTO RICO,CAGUAS,PR,I,72
E40422,INTER AMERICAN UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,I,72
E40423,INTER AMERICAN UNIVERSITY OF PUERTO RICO,BAYAMON,PR,I,72
E40424,UEI COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,I,06
E40425,FLORIDA CAREER COLLEGE,PEMBROKE PINES,FL,I,12
E40426,FLORIDA CAREER COLLEGE - WEST PALM BEACH,WEST PALM BEACH,FL,I,12
E40427,FLORIDA CAREER COLLEGE -HIALEAH,HIALEAH,FL,I,12
E40428,FLORIDA CAREER COLLEGE - LAUDERDALE LAKE,LAUDERDALE LAKES,FL,I,12
E40429,FLORIDA CAREER COLLEGE -  TAMPA,TAMPA,FL,I,12
E40430,FLORIDA CAREER COLLEGE - JACKSONVILLE,JACKSONVILLE,FL,I,12
E40431,FLORIDA CAREER COLLEGE - BOYNTON BEACH,BOYNTON BEACH,FL,I,12
E40432,FLORIDA CAREER COLLEGE - MARGATE,MARGATE,FL,I,12
E40434,FLORIDA CAREER COLLEGE - ORLANDO,ORLANDO,FL,I,12
E40435,FLORIDA CAREER COLLEGE - UEI COLLEGE - P,PHOENIX,AZ,I,04
E40436,FLORIDA CAREER COLLEGE - UEI COLLEGE - H,HOUSTON,TX,I,48
E40437,FAIRLEIGH DICKINSON UNIVERSITY - VANCOUV,VANCOUVER,CN,I,
E40438,KENNETH SHULER SCHOOL OF COSMETOLOGY - S,SPARTANBURG,SC,I,45
E40439,KENNETH SHULER SCHOOL OF COSMETOLOGY  -,COLUMBIA,SC,I,45
E40440,KENNETH SHULER SCHOOL OF COSMO-GREENVILL,GREENVILLE,SC,I,45
E40441,KENNETH SHULER SCHOOL OF COSMETOLOGY & H,FLORENCE,SC,I,45
E40442,AMERICAN INSTITUTE - SOMERSET,SOMERSET,NJ,I,34
E40443,UNITECH TRAINING ACADEMY - BATON ROUGE,BATON ROUGE,LA,I,22
E40444,ARIZONA SCH OF INTEGRATIVE STUDIES MESA,MESA,AZ,I,04
E40446,MYCOMPUTERCAREER.COM - ARLINGTON,ARLINGTON,TX,I,48
E40447,MYCOMPUTERCAREER.COM - CHARLOTTE,CHARLOTTE,NC,I,37
E40448,CAREER QUEST LEARNING CENTER - MT. PLEAS,MOUNT PLEASANT,MI,I,26
E40449,OHIO MEDIA SCHOOL,CINCINNATI,OH,I,39
E40451,AVEDA INSTITUTE-SAN ANTONIO,SAN ANTONIO,TX,I,48
E40452,FAIRLEIGH DICKINSON UNIVERSITY - WROXTON,OXFORDSHIRE,FC,I,
E40455,ADVANCED COLLEGE - STOCKTON,STOCKTON,CA,I,06
E40457,INDIANA UNIVERSITY - FORT WAYNE,FORT WAYNE,IN,I,18
E40458,TONI&GUY HAIRDRESSING ACADEMY - IDAHO,COEUR D'ALENE,ID,I,16
E40459,INSTITUTE OF CULINARY EDUCATION -,PASADENA,CA,I,06
E40460,CAREER QUEST LEARNING CENTER - BAY CITY,BAY CITY,MI,I,26
E40461,AMERICAN INSTITUTE OF CLINICAL MASSAGE,POST FALLS,ID,I,16
E40462,DORSEY SCHOOL OF BUSINESS - SOUTHGATE CA,SOUTHGATE,MI,I,26
E40464,INTERNATIONAL BUSINESS COLLEGE - FORT WA,FORT WAYNE,IN,I,18
E40465,STANBRIDGE UNIVERSITY - LOS ANGELES,ALHAMBRA,CA,I,06
E40466,SANTA BARBARA BUSINESS COLLEGE -,VENTURA,CA,I,06
E40467,ELEVATE SALON INSTITUTE - SHEFFIELD VILL,SHEFFIELD VILLAGE,OH,I,39
E40469,MIAMI DADE COLLEGE - WEST CAMPUS,DORAL,FL,I,12
E99990,FEDERAL STUDENT AID USE ONLY,WASHINGTON,DC,I,11
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,BERKELEY,CA,I,06
G01165,CHURCH DIV SCH OF THE PACIFIC,BERKELEY,CA,I,06
G01169,CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,I,06
G01200,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,I,06
G01207,GRADUATE THEOLOGICAL UNION,BERKELEY,CA,I,06
G01256,PACIFIC SCHOOL OF RELIGION,BERKELEY,CA,I,06
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,SAN ANSELMO,CA,I,06
G01288,CLAREMONT SCHOOL OF THEOLOGY,CLAREMONT,CA,I,06
G01295,SOUTHWESTERN LAW SCHOOL,LOS ANGELES,CA,I,06
G01354,ILIFF SCHOOL OF THEOLOGY,DENVER,CO,I,08
G01387,HARTFORD SEMINARY,HARTFORD,CT,I,09
G01464,WESLEY THEOLOGICAL SEMINARY,WASHINGTON,DC,I,11
G01560,COLUMBIA THEOLOGICAL SEMINARY,DECATUR,GA,I,13
G01568,INTERDENOMINATIONAL THEOLOGY CENTER,ATLANTA,GA,I,13
G01632,AQUINAS INSTITUTE OF THEOLOGY,ST LOUIS,MO,I,29
G01637,BETHANY THEOLOGICAL SEMINARY,RICHMOND,IN,I,18
G01661,CHICAGO THEOLOGICAL SEMINARY,CHICAGO,IL,I,17
G01682,GARRETT-EVANGELICAL THEOLOGICAL SEM,EVANSTON,IL,I,17
G01698,JOHN MARSHALL LAW SCHOOL,CHICAGO,IL,I,17
G01712,LUTHERAN SCHOOL OF THEOL AT CHICAGO,CHICAGO,IL,I,17
G01721,MCCORMICK THEOLOGICAL SEMINARY,CHICAGO,IL,I,17
G01723,MEADVILLE LOMBARD THEOLOGICAL SCHOOL,CHICAGO,IL,I,17
G01736,NORTHERN BAPTIST THEOL SEMINARY,LOMBARD,IL,I,17
G01765,UNIVERSITY OF ST MARY OF THE LAKE,MUNDELEIN,IL,I,17
G01789,CHRISTIAN THEOLOGICAL SEMINARY,INDIANAPOLIS,IN,I,18
G01897,WARTBURG THEOLOGICAL SEMINARY,DUBUQUE,IA,I,19
G01953,ASBURY THEOLOGICAL SEMINARY,WILMORE,KY,I,21
G01971,LEXINGTON THEOLOGICAL SEMINARY,LEXINGTON,KY,I,21
G01974,LOUISVILLE PRESBYTERIAN THEOL SEM,LOUISVILLE,KY,I,21
G02019,NEW ORLEANS BAPTIST THEOL SEMINARY,NEW ORLEANS,LA,I,22
G02022,NOTRE DAME SEMINARY,NEW ORLEANS,LA,I,22
G02116,ANDOVER NEWTON THEOLOGICAL SCHOOL,NEWTON CENTRE,MA,I,25
G02202,BLESSED JOHN XXIII NATIONAL SEMINARY,WESTON,MA,I,25
G02242,CALVIN THEOLOGICAL SEMINARY,GRAND RAPIDS,MI,I,26
G02248,CRANBROOK ACADEMY OF ART,BLOOMFIELD HILLS,MI,I,26
G02254,MICHIGAN STATE UNIVERSITY COLLEGE OF LAW,EAST LANSING,MI,I,26
G02331,WESTERN THEOLOGICAL SEMINARY,HOLLAND,MI,I,26
G02357,LUTHER SEMINARY,ST PAUL,MN,I,27
G02386,UNITED THEOLGCL SEMINRY TWIN CITIES,NEW BRIGHTON,MN,I,27
G02391,MITCHELL HAMLINE SCHOOL OF LAW,ST PAUL,MN,I,27
G02457,CONCORDIA SEMINARY,SAINT LOUIS,MO,I,29
G02462,EDEN THEOLOGICAL SEMINARY,ST. LOUIS,MO,I,29
G02474,KANSAS CITY UNIV OF MED AND BIOSCIENCES,KANSAS CITY,MO,I,29
G02477,A.T. STILL UNIV OF HEALTH SCIENCES,KIRKSVILLE,MO,I,29
G02494,NAZARENE THEOLOGICAL SEMINARY,KANSAS CITY,MO,I,29
G02509,SAINT PAUL SCHOOL OF THEOLOGY,KANSAS CITY,MO,I,29
G02619,NEW BRUNSWICK THEOLOGICAL SEMINARY,NEW BRUNSWICK,NJ,I,34
G02626,PRINCETON THEOLOGICAL SEMINARY,PRINCETON,NJ,I,34
G02669,BANK STREET COLLEGE OF EDUCATION,NEW YORK,NY,I,36
G02674,NEW YORK THEOLOGICAL SEMINARY,NEW YORK,NY,I,36
G02677,BROOKLYN LAW SCHOOL,BROOKLYN,NY,I,36
G02700,COLGATE ROCHESTER CROZER DIVINITY S,ROCHESTER,NY,I,36
G02726,GENERAL THEOLOGICAL SEMINARY,NEW YORK,NY,I,36
G02749,NEW YORK COLLEGE OF PODIATRIC MED,NEW YORK,NY,I,36
G02783,NEW YORK LAW SCHOOL,NEW YORK,NY,I,36
G02784,NEW YORK MEDICAL COLLEGE,VALHALLA,NY,I,36
G02807,ROCKEFELLER UNIVERSITY,NEW YORK,NY,I,36
G02822,CHRIST THE KING SEMINARY,EAST AURORA,NY,I,36
G02833,ST VLADIMIR ORTHODOX THEOL SEM,CRESTWOOD,NY,I,36
G02886,ALBANY LAW SCHOOL,ALBANY,NY,I,36
